Permit #,Establishment Name,Address,Zip,Est Type,First Seen,Last Seen,Inspections
77034,SMASHING TOMATO RESTAURANT,3801 MALL ROAD,40503,605,2006-12-06,2025-10-06,95
77069,TOTAL WINE,"2321 SIR BARTON WAY, STE. #160",40509,610,2006-10-16,2024-01-17,23
77156,PIZZA INN,"6400 POLO CLUB LANE, STE. 150",40509,605,2006-10-27,2017-11-20,27
77174,TUESDAY MORNING #921,2909 RICHMOND ROAD,40509,610,2006-11-03,2016-07-29,15
77200,WEST COAST GOURMET PIZZA,2348 NICHOLASVILLE RD STE. 120,40503,PIZZA,2013-04-19,2025-08-15,56
77202,RED BANG BANG SUSHI,"3801 MALL ROAD, STE. 135",40503,605,2006-12-27,2019-11-27,115
77266,WALGREENS #10801,2285 VERSAILLES ROAD,40504,610,2007-06-14,2014-01-08,14
77268,KROGER FIELD KETTLE KORN GATE 4 UPPER LEVEL,1540 UNIVERSITY DR,40506,603,2006-11-11,2023-09-16,60
77357,WALMART #3894,2350 GREY LAG WAY,40509,55,2007-01-12,2025-12-11,149
77358,SKY 22/AUNTIE ANN'S,"2350 GREY LAG WAY, #160",40505,605,2007-01-16,2025-08-08,143
77359,CARAMANDA'S BAKE SHOPPE,332 SOUTHLAND DR.,40503,605,2007-01-17,2022-10-10,121
77360,HOP CAT,410 W SHORT STREET,40507,605,2006-11-16,2019-10-11,76
77417,PAPA MURPHY'S TAKE 'N' BAKE PIZZA,2348 NICHOLASVILLE RD,40503,605,2007-02-16,2011-10-24,10
77428,MARATHON EAST MAIN,801 EAST MAIN STREET,40502,610,2007-08-23,2025-11-13,36
77492,UK HYDROTHERAPY THERMAL PLUNGE - INDOOR,,40508,PLUNGE - INDOOR,2025-11-25,2025-11-25,1
77493,UK HYDROTHERAPY POLAR PLUNGE - INDOOR,,40506,PLUNGE - INDOOR,2025-11-25,2025-11-25,1
77496,UK - HYDROTHERAPY POOL - INDOOR REGENCY POINTE TOWNHOMES -,,40506,REGENCY POINTE TOWNHOMES -,2025-12-03,2025-12-03,1
77498,ASIAN CAFE,"3120 PIMLICO PKWY, STE. 184",40517,605,2006-11-01,2017-09-11,38
77634,CARAMANDAS,332 SOUTHLAND DRIVE,40503,610,2007-03-09,2007-03-09,1
77652,FIREHOUSE SUBS #301,"535 S UPPER ST., STE. 175",40508,605,2007-05-04,2017-04-21,24
77700,UNIQUE CATERING BY TIM CARSON,3459 BUCKHORN DRIVE,40515,605,2007-09-12,2013-11-06,14
77785,REVIVE LIFE HOUSE,185 ELM TREE LANE,,,2019-05-10,2019-12-06,4
77811,"SELMA'S CATERING, LLC","1500 BULL LEA ROAD, STE. 130",40511,605,2007-06-11,2016-03-23,26
77812,AFC ZENSHI @ KROGER #361,1808 ALEXANDRIA DRIVE,40504,#361,2007-03-12,2025-07-30,116
77815,LEXINGTON SEAFOOD MARKET,867 E. HIGH STREET,40502,607,2007-06-25,2021-12-03,110
77818,CHICK-FIL-A AT RICHMOND RD & NEW CIRCLE,2299 RICHMOND ROAD,40509,RD & NEW CIRCLE,2018-08-21,2025-11-17,38
77853,KIDZ KONNECTION CHILD CARE,"1020 INDUSTRY RD., STE. 26",40505,CARE,2007-03-28,2025-10-21,115
77913,CHRISMAN MILL VINEYARD,2385 CHRISMAN MILL ROAD,40356,610,2007-01-03,2010-07-03,2
77973,AFC ZENSHI @ KROGER #371,3650 BOSTON ROAD,40514,#371,2007-06-12,2025-11-20,77
77974,GABE'S,3150 RICHMOND ROAD,40509,610,2007-05-10,2023-11-13,16
78050,SUSHI WITH GUSTO,3387 TATES CREEK RD.,40502,605,2007-05-08,2025-11-11,72
78063,SAM SUSHI,"3090 HELMSDALE PLACE, STE. 265",40509,605,2007-08-13,2025-11-06,80
78105,SPORTSMAN'S WAREHOUSE,2200 WAR ADMIRAL WAY STE 140,40509,610,2007-05-11,2023-11-13,19
