Permit #,query,status,matched_address,lat,lon
114530,1800 NEWTOWN PIKE,Match,"1800 NEWTOWN PIKE, LEXINGTON, KY, 40511",38.093151772206,-84.487008625878
101684,3146 MAPLELEAF DR,Match,"3146 MAPLELEAF DR, LEXINGTON, KY, 40509",38.006172563863,-84.424977068991
105802,2225 SUNNINGDALE DR,Match,"2225 SUNNINGDALE DR, LEXINGTON, KY, 40509",38.01644248532,-84.400315007988
102537,"342 WALLER AVE., 3-G",Match,"342 WALLER AVE, LEXINGTON, KY, 40504",38.029603309461,-84.517526780813
112335,155 N. HANOVER AVE.,Match,"155 N HANOVER AVE, LEXINGTON, KY, 40502",38.03597799586,-84.48085707503
104730,410 ROSE LANE,Match,"410 ROSE LN, LEXINGTON, KY, 40508",38.035581831609,-84.499494518873
102794,567 RED HAWK LN,Match,"567 REDHAWK LN, CAMPBELLSVILLE, KY, 42718",37.394465927094,-85.194721197355
114511,4275 HARRODSBURG RD.,Match,"4275 HARRODSBURG RD, LEXINGTON, KY, 40513",37.99841298464,-84.580256914081
115843,3636 BOSTON RD.,Match,"3636 BOSTON RD, LEXINGTON, KY, 40514",37.980872333625,-84.55090610176
115844,1450 HIGBEE MILL ROAD,Match,"1450 HIGBEE MILL RD, LEXINGTON, KY, 40503",37.98808093227,-84.563057299644
114514,3165 BEAUMONT CENTER CIRCLE,Match,"3165 BEAUMONT CENTRE CIR, LEXINGTON, KY, 40513",38.020649228876,-84.557574701335
104728,2417 NICHOLASVILLE RD,Match,"2417 NICHOLASVILLE RD, LEXINGTON, KY, 40503",38.002985326435,-84.519720863035
116940,1497 ALEXANDRIA DR.,Match,"1497 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.046930658296,-84.552009830369
105811,411 PENNSYLVANIA CT,Match,"411 PENNSYLVANIA CT, LEXINGTON, KY, 40508",38.034835564833,-84.500263024362
102120,1165 MONARCH STREET,Match,"1165 MONARCH ST, LEXINGTON, KY, 40513",38.018161323026,-84.559084715405
113016,444 PARKWAY,Match,"444 PARKWAY DR, LEXINGTON, KY, 40504",38.035784361901,-84.524304005979
114348,2034 GARDEN SPRING DR,Match,"2034 GARDEN SPRINGS DR, LEXINGTON, KY, 40504",38.028315577614,-84.542429873895
116769,100 MARKETPLACE DR,Match,"100 MARKETPLACE DR, LEXINGTON, KY, 40503",37.978245413028,-84.529396255323
117616,2220 NICHOLASVILLE RD 102,Match,"2220 NICHOLASVILLE RD, LEXINGTON, KY, 40503",38.008008586798,-84.517638342533
114350,630 EUCLID AVE,Match,"630 EUCLID AVE, LEXINGTON, KY, 40502",38.031814840214,-84.49312275065
114354,2770 PALUMBO DR,Match,"2770 PALUMBO DR, LEXINGTON, KY, 40509",38.00726700447,-84.436241083527
115443,1474 ANNISTON DR.,Match,"1474 ANNISTON DR, LEXINGTON, KY, 40505",38.056834584225,-84.438261020188
102356,1401 LOCUST STREET,Match,"1401 LOCUST ST, LOUISVILLE, KY, 40206",38.252250484051,-85.72025655749
101267,501 DARBY CREEK DR. 49A,Match,"501 DARBY CREEK RD, LEXINGTON, KY, 40509",38.007072921669,-84.431272957851
101027,750 NEWTOWN CT.,Match,"750 NEWTOWN CT, LEXINGTON, KY, 40511",38.076249661865,-84.492486334843
103449,501 W 6TH ST,Match,"501 W 6TH ST, LEXINGTON, KY, 40508",38.05918362219,-84.491999523951
112171,251 CHIPPENDALE CIRCLE,Match,"251 CHIPPEN DALE CIR, LEXINGTON, KY, 40517",38.006201969496,-84.45924562775
105881,145 BURT RD,Match,"145 BURT RD, LEXINGTON, KY, 40503",38.007682967897,-84.519792111911
112159,141 DIXIE PLAZA,Match,"141 DIXIE PLZ, RICHMOND, KY, 40475",37.727391214233,-84.27704891604
105882,3303 NICHOLASVILLE RD,Match,"3303 NICHOLASVILLE RD, LEXINGTON, KY, 40503",37.990227918816,-84.52431737587
112157,3459 BUCKHORN DR,Match,"3459 BUCKHORN DR, LEXINGTON, KY, 40515",37.976242543383,-84.458684550364
114577,395 S. LIMESTONE,Match,"395 S LIMESTONE ST, LEXINGTON, KY, 40508",38.041663687149,-84.503760566972
114579,1500 MUI STATION RD.,Match,"1500 MUIR STATION RD, LEXINGTON, KY, 40516",38.099903566834,-84.371460637659
104547,962 DELWARE AVE,Match,"962 DELAWARE AVE, LEXINGTON, KY, 40505",38.03965770687,-84.47215289431
106724,1935 STANTON WAY,Match,"1935 STANTON WAY, LEXINGTON, KY, 40511",38.102641319128,-84.484400841192
104309,124 MALABU DR.,Match,"124 MALABU DR, LEXINGTON, KY, 40503",38.00279794787,-84.518006520499
104306,610 W THIRD ST,Match,"610 W 3RD ST, LEXINGTON, KY, 40508",38.057074136993,-84.501057176489
111071,2548 LANGSTANE LANE,Match,"2548 LANGSTANE LN, LEXINGTON, KY, 40511",38.105106227843,-84.509022561479
112148,1804 ALEXANDRIA DRIVE,Match,"1804 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.036279375194,-84.551202342445
101253,1228 MANCHESTER STREET,Match,"1228 MANCHESTER ST, LEXINGTON, KY, 40504",38.056904105367,-84.520148691149
116986,3201 CATSKILL,Match,"3201 CATSKILL CT, LEXINGTON, KY, 40515",37.980683588055,-84.461299962522
117833,780 N LIMESTONE,Match,"780 N LIMESTONE ST, LEXINGTON, KY, 40508",38.05645961763,-84.482630783701
118924,809 HIDDEN STREAM DR,Match,"809 HIDDEN STREAM DR, LEXINGTON, KY, 40511",38.08486000257,-84.50977823109
116745,704 EUCLID,Match,"704 EUCLID AVE, LEXINGTON, KY, 40502",38.031433015383,-84.492693181187
114569,1725 ROSECRANS DR.,Match,"1725 ROSECRANS DR, LEXINGTON, KY, 40504",38.037391950507,-84.536104192577
116989,1467 LEESTOWN RD.,Match,"1467 LEESTOWN RD, LEXINGTON, KY, 40511",38.065062175034,-84.522492580106
117836,509 SANDEE DR,Match,"509 SANDEE DR, NICHOLASVILLE, KY, 40356",37.927774959507,-84.475925008529
105609,573 ALDERBROOK WAY,Match,"573 ALDERBROOK WAY, LEXINGTON, KY, 40515",37.963723797083,-84.518597267528
114332,333 E. MAIN ST,Match,"333 E MAIN ST, LEXINGTON, KY, 40507",38.04247937072,-84.492542005903
104514,1649 LIBERTY RD,Match,"1649 LIBERTY RD, LEXINGTON, KY, 40505",38.037326602032,-84.463682086728
101247,417 GEORGETOWN ST.,Match,"417 GEORGETOWN ST, LEXINGTON, KY, 40508",38.060263959509,-84.501333471608
111061,434 COMPLEX DR,Match,"434 UK COMPLEX DR, LEXINGTON, KY, 40502",38.029448736276,-84.50550379155
104515,3490 RIVER PARK,Match,"3490 RIVER PARK DR, LEXINGTON, KY, 40517",37.979163547935,-84.476973799296
102350,124 OLDHAM ROAD,Match,"124 OLDHAM RD, MOUNT STERLING, KY, 40353",37.992684449893,-83.93841837325
102352,305 LINDENHURST DR,Match,"305 LINDENHURST DR, LEXINGTON, KY, 40509",38.002571177469,-84.430353947374
112379,430 W. MAIN ST,Match,"430 W MAIN ST, LEXINGTON, KY, 40507",38.049052024026,-84.500096294356
113468,576 E. 3RD ST,Match,"576 E 3RD ST, LEXINGTON, KY, 40508",38.043121908811,-84.483108138739
101263,561 S BROADWAY,Match,"561 S BROADWAY RD, LEXINGTON, KY, 40508",38.044863486384,-84.505781831025
101264,1115 SOUTH BROADWAY,Match,"1115 S BROADWAY RD, LEXINGTON, KY, 40504",38.036698582804,-84.518834806357
102595,212 ELKHORN MEADOWS,Match,"212 ELKHORN MEADOWS DR, GEORGETOWN, KY, 40324",38.209514955071,-84.534722893635
118913,1747 ALEXANDRIA DRIVE,Match,"1747 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.039393449322,-84.552580424943
115651,128 N. BROADWAY,Match,"128 N BROADWAY RD, LEXINGTON, KY, 40507",38.049335672842,-84.499172412605
106945,828 LANE ALLEN RD,Match,"828 LANE ALLEN RD, LEXINGTON, KY, 40504",38.030115838,-84.541417838
113233,594 E. THIRD ST,Match,"594 E 3RD ST, LEXINGTON, KY, 40508",38.042724371449,-84.482384986963
111052,2400 NEWTOWN PIKE,Match,"2400 NEWTOWN PIKE, LEXINGTON, KY, 40511",38.109195682761,-84.482197165649
102349,2380 NORMAN LANE,Match,"2380 NORMAN LN, LEXINGTON, KY, 40503",38.004751890131,-84.51997010924
106947,518 SANDAL WOOD DR,Match,"518 SANDALWOOD DR, LEXINGTON, KY, 40505",38.062360673409,-84.446651466901
106946,105 W. LOUDON AVE,Match,"105 W LOUDON AVE, LEXINGTON, KY, 40508",38.057638776812,-84.481849065299
104583,1976 JUSTICE DR,Match,"1976 JUSTICE DR, LEXINGTON, KY, 40509",38.018177076801,-84.411749387312
104581,542 E LOUDON AVE,Match,"542 E LOUDON AVE, LEXINGTON, KY, 40505",38.050921703857,-84.474230660681
103011,3901 RAPID RUN DR,Match,"3901 RAPID RUN DR, LEXINGTON, KY, 40515",37.965138896247,-84.483076492738
106763,1725 ROSEGLANS DR.,Match,"1725 ROSECRANS DR, LEXINGTON, KY, 40504",38.037391950507,-84.536104192577
115238,1180 NEWTOWN PIKE,Match,"1180 NEWTOWN PIKE, LEXINGTON, KY, 40511",38.081030204909,-84.49225192956
118503,3401 NICHOLASVILE RD,Match,"3401 NICHOLASVILLE RD, LEXINGTON, KY, 40503",37.98845683202,-84.525168704428
118992,200 OLD TODDS RD,Match,"200 TODDS RD, LEXINGTON, KY, 40509",38.010610135365,-84.452498627813
114393,1938 STANTON WAY,Match,"1938 STANTON WAY, LEXINGTON, KY, 40511",38.101605967497,-84.481951226022
115482,1465 VALDOSTA CT.,Match,"1465 VALDOSTA CT, LEXINGTON, KY, 40505",38.056937572826,-84.436653148267
116573,4101 TATES CREEK CENTER DRIVE,Match,"4101 TATES CREEK CENTRE DR, LEXINGTON, KY, 40517",37.96993417395,-84.497580956576
115486,1801 ALEXANDRIA DR.,Match,"1801 ALEXANDRIA DR, LEXINGTON, KY, 40504",38.036272089506,-84.551366449014
116574,3175 BEAUMONT CENTER CIR,Match,"3175 BEAUMONT CENTRE CIR, LEXINGTON, KY, 40513",38.020453679795,-84.558365229535
117424,545 S BROADWAY,Match,"545 S BROADWAY RD, LEXINGTON, KY, 40508",38.044953983501,-84.505651256612
107847,125 CHEAPSIDE,Match,"125 CHEAPSIDE ST, LEXINGTON, KY, 40507",38.047979636942,-84.498425106014
104338,2167 N. BROADWAY,Match,"2167 N BROADWAY RD, LEXINGTON, KY, 40505",38.07760666862,-84.45334049598
107846,2890 RICHMOND RD,Match,"2890 RICHMOND SRD, LEXINGTON, KY, 40509",38.006667873314,-84.452192125338
107849,3650 BOSTON RD,Match,"3650 BOSTON RD, LEXINGTON, KY, 40514",37.98048457978,-84.551138754078
114391,111 WOODLAND AVE,Match,"111 WOODLAND AVE, LEXINGTON, KY, 40502",38.039077680395,-84.489674762715
104110,3429 BUCKHORN,Match,"3429 BUCKHORN DR, LEXINGTON, KY, 40515",37.976161101173,-84.458018205325
104114,105 SPRUCE ST,Match,"105 SPRUCE ST, LEXINGTON, KY, 40508",38.045325074112,-84.491994254671
114138,367 W. SHORT STREEET.,Match,"367 W SHORT ST, LEXINGTON, KY, 40507",38.049198572691,-84.498746736691
117409,2800 RICHMOND RD,Match,"2800 RICHMOND SRD, LEXINGTON, KY, 40509",38.007829323713,-84.453482690632
118501,106 BURKE RD,Match,"106 BURKE RD, LEXINGTON, KY, 40511",38.065872121873,-84.523159039808
118984,257 RIVERSIDE DR,Match,"257 RIVERSIDE DR, TROY, OH, 45373",40.054594572445,-84.205216305939
113299,501 WEST SIXTH STREET,Match,"501 W 6TH ST, LEXINGTON, KY, 40508",38.05918362219,-84.491999523951
113298,550 SOUTH LIMESTONE,Match,"550 S LIMESTONE ST, LEXINGTON, KY, 40508",38.039043200504,-84.506682258961
104347,909 WINCHESTER RD,Match,"909 WINCHESTER RD, LEXINGTON, KY, 40505",38.041707897777,-84.471266824068
106766,119 W. REYNOLDS RD,Match,"119 W REYNOLDS RD, LEXINGTON, KY, 40503",37.991491893666,-84.524519584827
108945,428 SOUTHLAND DR,Match,"428 SOUTHLAND DR, LEXINGTON, KY, 40503",38.018889195276,-84.527412852303
113036,685 S. LIMESTONE,Match,"685 S LIMESTONE ST, LEXINGTON, KY, 40508",38.035267631079,-84.508260871685
116308,727 CHILES AVE.,Match,"727 CHILES AVE, LEXINGTON, KY, 40508",38.06520488007,-84.507772922457
116309,961 MIDNIGHT PASS,Match,"961 MIDNIGHT PASS, LEXINGTON, KY, 40513",38.016160505205,-84.557312208016
